Dataset,Cv,Method,Duration (Seconds),Micro F1,Best Pipeline
AT,3,ASTeC,147440,0.862,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', False)]), ('LbfgsMLPClassifier', [('activation', 'identity'), ('alpha', 10.0)])]"
AT,4,ASTeC,44118,0.804,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l1'), ('smooth_idf', True), ('sublinear_tf', True)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'chi2')]), ('SigmoidSVMClassifier', [('C', 100.0), ('coef0', -1.0), ('gamma', 1.0)])]"
AT,5,ASTeC,143358,0.868,"[('SimpleLowerCase', []), ('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('NlpnetPOSTagger', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.9), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', True)]), ('CustomSelectPercentile', [('percentile', 95), ('score_func', 'f_classif')]), ('LinearSVMClassifier', [('C', 100.0)])]"
AT,6,ASTeC,72053,0.816,"[('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l1'), ('smooth_idf', True), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'f_classif')]), ('RbfSVMClassifier', [('C', 100.0), ('gamma', 10.0)])]"
AT,7,ASTeC,80993,0.805,"[('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('SigmoidSVMClassifier', [('C', 100.0), ('coef0', -1.0), ('gamma', 0.1)])]"
AT,8,ASTeC,82717,0.885,"[('TweetStringTokenizer', [('reduce_len', True), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 94), ('score_func', 'f_classif')]), ('SigmoidSVMClassifier', [('C', 100.0), ('coef0', -1.0), ('gamma', 0.1)])]"
AT,9,ASTeC,86473,0.901,"[('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', True)]), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', False), ('sublinear_tf', True)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'f_classif')]), ('RbfSVMClassifier', [('C', 100.0), ('gamma', 0.01)])]"
AT,10,ASTeC,65641,0.855,"[('TweetStringTokenizer', [('reduce_len', False), ('strip_handles', False)]), ('SimpleTermsListToTuplesList', []), ('SimpleTermLowerCase', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 1.0), ('min_df', 0.0), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', False)]), ('LbfgsMLPClassifier', [('activation', 'identity'), ('alpha', 10.0)])]"
FMN,1,ASTeC,140502,0.702,"[('SimpleLowerCase', []), ('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 1)]), ('TokenTfidfVectorizer', [('max_df', 0.6), ('min_df', 0.0), ('norm', 'l1'), ('smooth_idf', False), ('sublinear_tf', False)]), ('CustomSelectPercentile', [('percentile', 100), ('score_func', 'f_classif')]), ('LinearSVMClassifier', [('C', 100.0)])]"
FMN,2,ASTeC,130902,0.658,"[('SimpleLowerCase', []), ('SimpleStringTokenizer', []), ('SimpleTermsListToTuplesList', []), ('CustomRSLPStemmer', []), ('NGramGrouper', [('max_len', 2)]), ('TokenTfidfVectorizer', [('max_df', 0.8), ('min_df', 0.0135), ('norm', 'l2'), ('smooth_idf', True), ('sublinear_tf', True)]), ('LinearSVMClassifier', [('C', 1.0)])]"
